City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Morant Bay,JM,76.62,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
4,Mazagao,BR,80.65,moderate rain,-0.115,-51.2894,Recanto dos Ferreiras
17,Urubicha,BO,84.38,scattered clouds,-15.3833,-62.95,
19,Butaritari,KI,81.7,broken clouds,3.0707,172.7902,Isles Sunset Lodge
22,Arraial Do Cabo,BR,87.76,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
23,Cape Town,ZA,88.12,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
25,Hermanus,ZA,87.91,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
26,Bredasdorp,ZA,77.29,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
35,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
41,Ndele,CF,81.46,broken clouds,8.4109,20.6473,
42,Sambava,MG,79.32,light rain,-14.2667,50.1667,Melrose
44,Cayenne,GF,80.64,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
49,Rikitea,PF,76.23,broken clouds,-23.1203,-134.9692,People ThankYou
50,Bosaso,SO,75.6,scattered clouds,11.2842,49.1816,Red Sea Hotel
52,Lorengau,PG,79.02,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
53,Vaini,TO,80.46,overcast clouds,-21.2,-175.2,Keleti Beach Resort
56,Omboue,GA,80.67,overcast clouds,-1.5746,9.2618,Hotel Olako
57,Itarema,BR,77.23,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
61,Atuona,PF,76.87,light rain,-9.8,-139.0333,Villa Enata
66,Kidal,ML,82.44,clear sky,18.4411,1.4078,
68,Port Elizabeth,ZA,78.1,few clouds,-33.918,25.5701,39 On Nile Guest House
69,Port Alfred,ZA,75.9,overcast clouds,-33.5906,26.891,The Halyards Hotel
70,Chuy,UY,79.66,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
85,Weligama,LK,77.58,scattered clouds,5.9667,80.4167,Weligama Bay Resort
86,Vung Tau,VN,78.04,few clouds,10.346,107.0843,Green hotel
95,Hithadhoo,MV,82.27,overcast clouds,-0.6,73.0833,Scoop Guest House
97,Cidreira,BR,76.98,clear sky,-30.1811,-50.2056,Hotel Castelo
101,Richards Bay,ZA,75.06,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
103,Pimentel,PE,80.89,clear sky,-6.8367,-79.9342,Casona Del Muelle
109,Mar Del Plata,AR,86.02,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
111,Belmonte,BR,88.3,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
113,East London,ZA,76.14,clear sky,-33.0153,27.9116,Tu Casa
114,Pisco,PE,75.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
115,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
116,Rocha,UY,81.99,clear sky,-34.4833,-54.3333,Hotel Arrarte
118,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
123,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
124,Takoradi,GH,82.67,overcast clouds,4.8845,-1.7554,Raybow International Hotel
125,Ikorodu,NG,87.76,broken clouds,6.6191,3.5041,Ibisun Hotel & Suites
126,Eyl,SO,75.76,overcast clouds,7.9803,49.8164,Amiin Hotel
130,Bandarbeyla,SO,76.1,scattered clouds,9.4942,50.8122,JABIR HOTEL
134,Siquirres,CR,85.41,broken clouds,10.0975,-83.5066,Hotel Pacuare
136,Caravelas,BR,87.22,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
137,Tombouctou,ML,85.42,broken clouds,20.0,-3.0,
138,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
144,Pringsewu,ID,75.2,overcast clouds,-5.3582,104.9744,Urban Style by Front One
154,Chiredzi,ZW,78.28,broken clouds,-21.05,31.6667,Clevers Hotel Chiredzi
155,Icara,BR,76.91,overcast clouds,-28.7133,-49.3,Adventure Esportes
156,Bengkulu,ID,76.51,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
162,Buchanan,LR,89.56,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
178,Touros,BR,88.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
179,Alvorada,BR,79.57,overcast clouds,-12.48,-49.1247,Cristal Plaza Hotel
183,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
186,Kavieng,PG,81.05,light rain,-2.5744,150.7967,Nusa Island Retreat
187,Bambous Virieux,MU,80.85,light rain,-20.3428,57.7575,Casa Tia Villa
199,Pacasmayo,PE,75.38,overcast clouds,-7.4006,-79.5714,El Sol de Pacasmayo Hotel
202,Meulaboh,ID,78.87,overcast clouds,4.1363,96.1285,Kost Pria
208,Palauig,PH,77.2,clear sky,15.435,119.9045,Alperi Botique Resort
210,Ouango,CF,81.91,scattered clouds,4.3133,22.5552,
211,Chimbote,PE,75.0,overcast clouds,-9.0853,-78.5783,Hotel Viera Chimbote
218,Pemba,MZ,83.1,few clouds,-12.974,40.5178,Guesthouse Samotina
220,Ta Khmau,KH,78.85,few clouds,11.4833,104.95,Takhmao Good Health Hotel
223,Tabou,CI,83.98,broken clouds,4.423,-7.3528,hotêl doufoulougou
225,Samarai,PG,80.55,overcast clouds,-10.6167,150.6667,Nuli Sapi
227,Faanui,PF,78.98,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
228,Sabang,ID,81.99,scattered clouds,5.8933,95.3214,Hotel Citra
231,Salinopolis,BR,80.01,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
232,Macapa,BR,80.58,light rain,0.0389,-51.0664,Atalanta Hotel
234,Fare,PF,80.2,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
235,Kruisfontein,ZA,75.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
243,Hambantota,LK,77.83,few clouds,6.1241,81.1185,Bungalow 63
246,Vao,NC,79.25,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
247,Kavaratti,IN,81.66,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
249,Karratha,AU,84.29,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
250,Parintins,BR,80.56,light rain,-2.6283,-56.7358,Cama e Cafe
254,Pedernales,DO,80.71,clear sky,18.0384,-71.744,Hotel Costa Marina
257,Bo Rai,TH,84.85,scattered clouds,12.5728,102.5371,Baiboon Resort
261,Camopi,GF,81.77,broken clouds,3.1655,-52.3158,La pousada
262,Springbok,ZA,85.03,broken clouds,-29.6643,17.8865,Undulata Country Lodge
269,Dibulla,CO,83.62,few clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
275,Conceicao Do Araguaia,BR,83.23,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
276,Nhulunbuy,AU,79.41,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
281,Arlit,NE,75.11,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
288,San Isidro,PE,76.01,scattered clouds,-12.1167,-77.05,Soul Mate-Inn
291,Amapa,BR,81.72,overcast clouds,1.0,-52.0,
293,Namatanai,PG,78.44,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
296,Acandi,CO,79.74,overcast clouds,8.5063,-77.2778,Hotel Patio Bonito
297,Bosobolo,CD,83.75,broken clouds,4.1833,19.9,
299,Port Keats,AU,80.56,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
300,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
302,Raga,SS,75.58,overcast clouds,8.4596,25.678,
306,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
309,Road Town,VG,82.49,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
312,Vila Velha,BR,87.75,light rain,-20.3297,-40.2925,Quality Suites Vila Velha
313,Nha Trang,VN,75.2,broken clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
315,Neuquen,AR,78.69,few clouds,-38.9516,-68.0591,Hotel del Comahue
317,Pauini,BR,82.47,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
319,Monrovia,LR,89.37,scattered clouds,6.3005,-10.7969,Sunset Inn
322,Anori,BR,77.4,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
323,Saint-Pierre,RE,80.28,few clouds,-21.3393,55.4781,Lindsey Hôtel
331,Antalaha,MG,78.26,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
336,Rio Grande,BR,82.94,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
344,Saint-Joseph,RE,79.18,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
345,Sainte-Luce,MQ,83.44,broken clouds,14.4673,-60.9271,Pierre et Vacances Resort Sainte-Luce
348,Lorica,CO,87.78,overcast clouds,9.2365,-75.8135,Hostal Raíces del Sabor
349,Saint-Philippe,RE,80.19,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
354,Souillac,MU,80.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
355,Katobu,ID,77.07,overcast clouds,-4.9408,122.5276,La Ode Husein
356,Dingle,PH,75.79,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
357,Harper,LR,83.97,broken clouds,4.375,-7.7169,Screensaver
362,Coihueco,CL,77.74,few clouds,-36.6167,-71.8333,Frutillares Centro Coihueco
368,Puerto Carreno,CO,89.58,few clouds,6.189,-67.4859,Casa Hotel Victoria
370,Vanimo,PG,77.49,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
371,Balikpapan,ID,77.99,few clouds,-1.2675,116.8289,ibis Balikpapan
374,Paredon,MX,83.61,clear sky,16.0333,-93.8667,Hotel Principal Paredon
385,Mabaruma,GY,86.67,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
386,Auki,SB,77.88,overcast clouds,-8.7676,160.7034,Auki Motel
391,Taoudenni,ML,83.98,overcast clouds,22.6783,-3.9836,
392,Kilindoni,TZ,80.22,overcast clouds,-7.9139,39.6668,Bustani B&B
397,Swan Hill,AU,75.99,clear sky,-35.3378,143.5544,Lazy River Motor Inn
402,Chateaubelair,VC,83.01,scattered clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
405,Barranco,PA,83.95,scattered clouds,9.5167,-82.7,Casa doña Delfina Jiménez
408,Xuddur,SO,80.55,broken clouds,4.1213,43.8894,Banjanay Hotel
410,Hobyo,SO,77.38,light rain,5.3505,48.5268,Halane Hotel and Restaurent
411,Sekondi,GH,83.01,overcast clouds,4.937,-1.7128,Mapees Guest House
415,Taiobeiras,BR,78.1,heavy intensity rain,-15.8078,-42.2331,Dallas Hotel
423,Sola,VU,79.75,heavy intensity rain,-13.8833,167.55,Leumerus Bungalows
425,Dhidhdhoo,MV,81.36,few clouds,6.8833,73.1,Dhidhoo beach
429,Guayaramerin,BO,80.65,light rain,-10.8368,-65.3614,Hostal Funf
436,Abaete,BR,81.16,moderate rain,-19.16,-45.4458,Hotel Millenium
439,Padilla,CO,78.37,overcast clouds,3.2204,-76.3139,La Granadina
444,San Blas,MX,84.09,clear sky,21.5167,-105.2667,Hotel Posada del Rey
445,Lobito,AO,78.31,overcast clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
446,Mahebourg,MU,80.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
450,Tual,ID,83.61,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
454,Beira,MZ,80.69,few clouds,-19.8436,34.8389,Beira Terrace Hotel
456,Itaituba,BR,82.56,light rain,-4.2761,-55.9836,Hotel Campos
462,Muisne,EC,86.11,overcast clouds,0.6,-80.0333,Quinta Samay
465,Marabba,SD,78.37,scattered clouds,12.35,32.1833,
472,Kualakapuas,ID,78.96,overcast clouds,-3.0091,114.3876,Guest House Izonk
473,Cam Ranh,VN,75.16,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
477,Cockburn Town,TC,78.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
486,Deniliquin,AU,76.91,broken clouds,-35.5333,144.9667,Riviana Motel
488,Qui Nhon,VN,75.29,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
500,Bahia Blanca,AR,85.24,broken clouds,-38.7196,-62.2724,Hotel Argos
502,Kirakira,SB,80.2,moderate rain,-10.4544,161.9205,SanBiz Lodge
504,Cap Malheureux,MU,81.09,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
510,Ugoofaaru,MV,81.72,scattered clouds,5.6667,73.0,Ungoofaaru Inn
523,Dolores,AR,84.27,few clouds,-36.3132,-57.6792,Apart Hotel - Arianos
524,Salta,AR,82.58,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
525,Mogadishu,SO,77.7,scattered clouds,2.0371,45.3438,Hotel Juba
532,Bere,TD,81.86,scattered clouds,9.3202,16.1552,
534,Natal,BR,88.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
535,Ko Samui,TH,81.57,few clouds,9.5357,99.9357,The Passage
538,Sinnamary,GF,80.6,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
540,Gladstone,AU,75.13,few clouds,-23.85,151.25,Highpoint International Hotel
545,Quatre Cocos,MU,80.71,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
546,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
548,Lazaro Cardenas,MX,82.74,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
558,Banjar,ID,82.26,overcast clouds,-8.19,114.9675,The Hamsa Resort
563,Kathu,TH,85.69,few clouds,7.9178,98.3332,Novotel Phuket Resort
566,Emiliano Zapata,MX,77.85,few clouds,18.8333,-99.1833,Parador De Manolos Hotel
574,Maningrida,AU,78.87,light rain,-12.0667,134.2667,Dhukurrdji Lodge
575,Salto Del Guaira,PY,89.1,broken clouds,-24.0625,-54.3069,7 Saltos Resort
576,Lingig,PH,75.81,scattered clouds,8.0389,126.4125,BREXIE INN
579,Noumea,NC,81.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
585,Dondo,MZ,80.11,scattered clouds,-19.6094,34.7431,Arco Iris
586,Wanlaweyn,SO,78.17,overcast clouds,2.6185,44.8938,GAASHAAN HOME
591,Port-Gentil,GA,84.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
593,San Rafael,AR,85.57,clear sky,-34.6177,-68.3301,Hotel San Rafael
594,Marrakesh,MA,75.27,scattered clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
603,Santa Maria,BR,83.5,few clouds,-29.6842,-53.8069,Hotel Morotin
605,Merauke,ID,77.68,overcast clouds,-8.4667,140.3333,
607,Totness,SR,82.17,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
608,Poum,NC,79.7,overcast clouds,-20.2333,164.0167,Gîte kajeon
609,Emerald,AU,77.14,few clouds,-23.5333,148.1667,The Irish Village
610,Tevaitoa,PF,79.47,scattered clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
611,Cervantes,AR,79.38,broken clouds,-39.05,-67.3833,LA RUFINA
612,San Vicente,AR,85.96,scattered clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
616,Grand Gaube,MU,81.0,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
619,Mlonggo,ID,79.16,light rain,-6.5333,110.7,Asia Metal Art
624,Isangel,VU,77.41,overcast clouds,-19.55,169.2667,Tanna Lodge
626,Manaure,CO,82.51,clear sky,11.7751,-72.4445,Hotel Palaaima
629,Banugao,PH,77.07,broken clouds,14.7333,121.6333,WMV Hotel & Restaurant
637,Bria,CF,79.79,scattered clouds,6.5423,21.9863,WFP Guesthouse
639,Maceio,BR,89.04,scattered clouds,-9.6658,-35.7353,Poutur Pousada
641,Inhambane,MZ,78.78,few clouds,-23.865,35.3833,Oceano
643,San Policarpo,PH,77.77,few clouds,12.1791,125.5072,Agapita M. Nicart
646,Naifaru,MV,81.55,broken clouds,5.4444,73.3657,Naifaru Residence Guest House
647,Eydhafushi,MV,81.7,broken clouds,5.1033,73.0708,Soneva Fushi
649,Bonito,BR,86.36,broken clouds,-21.1211,-56.4819,Marruá Hotel
656,Biak,ID,76.32,overcast clouds,-0.9131,122.8766,Penginapan Kim
664,Jamame,SO,76.8,few clouds,0.0722,42.7506,
673,Guarapari,BR,87.69,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
674,Labrea,BR,80.46,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
675,Luanda,AO,79.32,overcast clouds,-8.8368,13.2343,Hotel Fórum
677,Moindou,NC,76.95,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
680,Kieta,PG,79.21,light rain,-6.2167,155.6333,Uruna Bay Retreat
681,Abong Mbang,CM,76.17,overcast clouds,3.9833,13.1833,Auberge Angle Sur
682,Coahuayana,MX,85.48,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
683,Adrar,MR,82.49,overcast clouds,20.5022,-10.0711,
686,Alta Floresta,BR,80.42,light rain,-9.8756,-56.0861,Floresta Amazonica Hotel
690,Alenquer,BR,75.54,overcast clouds,-1.9417,-54.7383,Detinha Hotel
